ID;leftContext;node;rightContext;truth;prediction;explanation;confidence;promptTokens;completionTokens;totalTokens;labelLogProb;labelProbability
1;"gelyfan on þone soþan God þe wilt þa heofonas &amp; geworhte ealle þing . An hæðen mann wæs iu on Egypta lande ær Cristes acennednysse , &amp; he cydde be Criste , Hermes gehaten , &amp; se hælend geceas hine to gewitnysse for his micclan wisdome . He awrat ane";boc;, þe hatte þuss on Leden : Uerbum Perfectum , þæt is , Fulfremed Word . :text_missing Word þæt ge magon gehyran hu se :text_missing soðlice oncneow : Filius benedicti Dei atque bonæ uoluntatis , cuius nomen non potest humano ore narrari : Est autem inenarrabilis sermo sapientiæ , sanctus;singular;singular;The phrase is 'He awrat ane boc' meaning 'He wrote a book.' The determiner 'ane' is the feminine accusative singular form, agreeing with 'boc.' Additionally, the plural of 'boc' is 'bec,' so the form 'boc' here must be singular. The relative clause 'þe hatte' also refers to a single work.;0.9800;321;751;1072;;
2;þam , and we belucað swa mid urum lofsangum þone halgan geleafan þe we habbað to Gode , for ðan ðe we gelyfað on þone lyfiendan God , on ða halgan þrynnysse , þe heofonas gewylt and ealle gesceafta , an ælmihtig Scyppend , swa swa gewrita cyðað on Cristenum;bocum;, and ða halgan fæderas , fram frymðe middaneardes . Æfre wæs se Fæder witodlice mid þam Suna , and eac se Halga Gast , on eallum his færelde , for ðan ðe hi ðry sind an þrymwealdend God on anre Godcundnysse æfre rixiende , on anum gecynde , ealle;plural;plural;The form 'bocum' has the -um ending, which in Old English marks the dative plural. It appears in the phrase 'on Cristenum bocum' where 'on' with a static meaning takes the dative, and the adjective 'Cristenum' is also dative plural. Together they mean 'in Christian books,' confirming 'bocum' is plural.;0.9700;334;495;829;;
3;"gefyrðriun to Gode . Se syrwienda deofol swicað æfre embe us , and on þæs mannes forðsiðe fela cnottan him bryt ; ac se mann behofað micclum gebeda gehadodra manna , þe him foreðingian on his forðsiðe , þæt he þam feonde ætberste ; for ðam ðe we rædað on";bocum;þæt se reða feond come swilce egeslic draca to anum licgendum cnihte , wolde his sawle habban for his synnum to helle , ac ðær comon munecas to on ðæs mannes forðsiðe , and geornlice bædon for þam geongan cnihte , oððæt hi swa afligdon þone feondlican dracan , and;plural;plural;The form 'bocum' has the -um ending, which is the regular dative plural ending in Old English. In context, 'we rædað on bocum' means 'we read in books', with 'on' governing the dative for location, confirming the plural.;0.9800;334;604;938;;
4;ðe us secgað bec þæt he hit sceole ðicgan , ac he his ne mæg onbyrian gif he bið gewiten ær . To goddra manna forðsiðe God asent his englas , þæt hi heora sawla onfon on heora forðsiðe , and gelædon to reste , swa swa we leorniað on;bocum;, and Crist him tæcð wununge be heora gewyrhtum . Ða ðe gode beoð , and Gode ær gecwemdon , on eallum godum weorcum , ða wuniað mid Gode , and ða ðe ne beoð ful gode , ne afeormode mid ealle fram eallum heora synnum , þa sceolon to;plural;plural;The node 'bocum' is the dative plural of Old English 'bōc' (book). The -um ending marks dative plural, and it follows the preposition 'on' used with the dative to mean location ('in books'): 'swa swa we leorniað on bocum' = 'as we learn in books.';0.9500;315;748;1063;;
5;eorðan ne beoð nane oðre buton Godes gecorenan , þe his halgum gegearcode fela eardungstowa . Æfter ðysum dome ure Drihten færð to his heofonlican Fæder , mid þam halgum mannum ðe he on middanearde of þære moldan arærde , and betæchð hi his Fæder , swa hit stent on;bocum;": Cum tradiderit regnum Patri suo : þæt is on urum gereorde , þonne he betæhcð rice his Fæder ; for ðan ðe hi beoð Godes rice , and hi rixiað mid Gode . Crist him gelæst þonne , swa swa he him on life behet , ða ða he";plural;plural;The form 'bocum' has the -um ending, which in Old English marks dative plural for many strong nouns. It is governed by the preposition 'on' ('on bocum'), which with a locative meaning takes the dative case. Thus 'on bocum' means 'in books', confirming the plural.;0.9600;316;485;801;;
7;, ge worda ge weorca , þæt God witodlice ælcum men gylt eft be his agenum dædum . He sæde eac soþlice hym þis bigspell þus : Hu mæg la se blinda lædan þone blindan , and hu ne feallað hy begen on sumne blindne seað ? Bispell getacnað on;bocum;gelome oðer þing on wordum and oðer on getacnungum . Nu ne mæg nan lareow , butan he ða lare hæbbe , þa læwedan men gerihtlæcan to Godes rihtwisnysse , ne se leahterfulla man ne mæg leahtras forbeodan , ne ðam dysigan styran , buton he styre ærest his agenum;plural;plural;The form bocum has the -um ending, which in Old English marks the dative plural. It appears after the preposition on (“on bocum”), which governs the dative when indicating location. The surrounding parallels (on wordum, on getacnungum) are also dative plurals, reinforcing that bocum is plural.;0.9600;320;540;860;;
8;"nu dyde he eac swa be his Drihtnes wordum , þæt he manega menn mid his lare gefeng , and mid wundorlicum tacnum þe he geworhte on life , swa swa he ær gefeng fixas mid his nettum ; and we gyt habbað his halgan lare mid us on Cristenum";bocum;, us sylfum to beterunge . Hy tugon þa to lande heora scipa gehladene , and hy ealle þing forleton , and folgodon swa Criste . Crist geceas fisceras him sylfum to folgerum , ungelærede men , and hy forleton ealle þing , his lare folgiende , and him her;plural;plural;The form bocum ends in -um, which in Old English marks the dative plural. It appears after the preposition on with a locative sense, which selects the dative, and agrees with the adjective Cristenum (also dative plural). Thus bocum is dative plural of bōc ‘book’.;0.9600;296;419;715;;
10;þæt we wunian moton on ðam ecum eardungstowum æfter urum forðsiþe mid ðam Godes mannum þe we ure god doð nu . Ne sceole we na mid facne us freond gewyrcan , ac þis is soð bysen hu we sceolon don of rihtum gestreonum , swa swa we rædað on;bocum;: dælan nu ælmyssan , and don beforan us , þæt we habban hy eft be hundfealdum us sylfum , þær þær nan þeof ne mæg ne ne mot hy forstelan , ne nan moððe ne mæg ne nan om hym derian , ac hy andsunde þær us beoð gehealdenne;plural;plural;The node 'bocum' is from OE bōc ‘book’. The -um ending marks dative plural. It follows the preposition 'on' used locatively (‘on bocum’ = ‘in books’), which governs the dative, confirming the plural dative form.;0.9300;309;733;1042;;
11;hlafordes godum . Þa worldmen soðlice , þissere worlde bearn , syndon micele snoteran on heora cynryne þonne þæs leohtes bearn , þæt synd þa geleaffullan . Þa worldmen cunnon þa worldcundan snoternysse , and þa yfelan hocas þe se Hælend onscunað , be ðam is awriten þisum wordum on;bocum;": Sapientia enim huius mundi stultitia est apud Deum : þissere worlde wisdom is stuntnyss ætforan Gode . Þu telest to wisdome þæt þu þin gewill hæbbe , and þu mæge oferdrifan oþerne man mid wo ; ac Crist wile habban unsceððinysse on us , and þa bilehwitnysse , swa";plural;plural;‘bocum’ is the dative plural of bōc ‘book’. The -um ending marks dative plural, and the preposition ‘on’ with a locative sense (‘in’) governs the dative: ‘on bocum’ = ‘in books’. The singular dative would be ‘bēce’.;0.9500;340;613;953;;
12;segð us se godspellere þe þiss godspell gesette þe nu gebirað to þissere mæssan , MARCVS gehaten se þe wæs martyr for Criste , þæt ure Hælend becom to þære galileiscan sæ , farende fram gemærum þæs tyriscan folces geond þæt sidoneiscan , on þam sælande Decapolis , swa on;bocum;"synd gehatene tyn burhscira . Ða gebrohte man him to , tomiddes þam folce , ænne dumne mann , &amp; se wæs eac swilce deaf , &amp; bædon þone Hælend þæt he hine hrepode mid his halwendum fingrum ; &amp; se Hælend sona gelædde þone mannan ut of þære meniu";plural;plural;The form bocum ends in -um, the standard Old English dative plural ending. With the preposition on (which governs the dative here), on bocum means ‘in books.’ This confirms a plural reading.;0.9300;329;782;1111;;
